epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
80,5776.02,1.30758,0.77502,1.19862,0.83075,0.69778,0.78506,0.44571,1.4045,0.72881,1.37819,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,5837.93,1.30729,0.77176,1.19776,0.83209,0.69703,0.78517,0.44585,1.4043,0.72871,1.37823,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,5898.63,1.30418,0.77189,1.19739,0.83213,0.69743,0.78536,0.446,1.40421,0.72853,1.37859,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,5959.62,1.30213,0.76878,1.19434,0.83271,0.69732,0.78546,0.44596,1.40412,0.72826,1.3786,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,6020.9,1.30065,0.7664,1.19164,0.83374,0.6969,0.7856,0.44606,1.40392,0.72799,1.37875,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,6082.17,1.30029,0.76655,1.19164,0.8333,0.69707,0.78561,0.44612,1.40385,0.72772,1.37874,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,6143.08,1.29676,0.76532,1.19174,0.83366,0.69698,0.78571,0.44631,1.40371,0.72754,1.3787,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,6204.33,1.29858,0.76544,1.18988,0.833,0.69771,0.78578,0.44623,1.40373,0.7273,1.37878,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,6265.43,1.29517,0.76253,1.19,0.8329,0.69803,0.7858,0.44635,1.40359,0.72697,1.37871,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,6326.59,1.29242,0.76091,1.18771,0.83349,0.69768,0.78575,0.4464,1.40353,0.72668,1.37884,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,6387.57,1.29241,0.76085,1.18869,0.83355,0.69768,0.78577,0.44636,1.40343,0.72648,1.37895,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,6446.92,1.24241,0.70392,1.15777,0.83366,0.69754,0.78572,0.44638,1.40334,0.7262,1.37898,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,6506.44,1.23565,0.69562,1.15132,0.83349,0.69724,0.78565,0.44638,1.40332,0.72586,1.37901,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,6566.14,1.23097,0.69274,1.14926,0.83381,0.69739,0.7857,0.44627,1.40333,0.72556,1.3793,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,6624.5,1.22616,0.68919,1.14747,0.83421,0.69702,0.78565,0.44638,1.40325,0.72518,1.37951,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,6683.17,1.22373,0.68685,1.14562,0.83467,0.69674,0.78552,0.44631,1.40321,0.72481,1.37968,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,6741.53,1.22006,0.68411,1.14386,0.83499,0.69652,0.78554,0.44635,1.40313,0.72449,1.37979,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,6799.82,1.21926,0.68299,1.14304,0.83456,0.69675,0.78546,0.4463,1.40319,0.72412,1.38007,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,6858.69,1.21486,0.67995,1.14201,0.83582,0.69614,0.78545,0.44629,1.40317,0.72398,1.38048,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,6917.03,1.21525,0.67941,1.14246,0.83581,0.69586,0.78559,0.44634,1.40317,0.72363,1.3807,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,6975.39,1.21285,0.67702,1.13875,0.83521,0.69651,0.78555,0.44627,1.40313,0.7234,1.38109,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
