epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
72,12768.6,1.36029,0.83248,0.00669,0.84505,0.74433,0.8261,0.4976,1.44713,0.81357,0.01239,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,12964.6,1.35834,0.82701,0.00666,0.8453,0.7441,0.82615,0.49756,1.44755,0.81324,0.0124,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,13177.2,1.35593,0.82297,0.00667,0.84532,0.74433,0.82625,0.49752,1.4479,0.81286,0.0124,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,13400.9,1.35144,0.81985,0.0066,0.84496,0.7443,0.82621,0.49759,1.44822,0.81231,0.0124,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,13610.9,1.34716,0.81632,0.00656,0.84505,0.74408,0.82625,0.49757,1.44788,0.81236,0.0124,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,13828.3,1.34847,0.81634,0.00655,0.84447,0.74492,0.82625,0.49745,1.44811,0.81225,0.0124,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,14031.7,1.33999,0.81224,0.00659,0.84449,0.74454,0.82619,0.49745,1.44821,0.8125,0.0124,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,14222.1,1.34584,0.81114,0.00651,0.84449,0.74504,0.82633,0.4976,1.44855,0.81136,0.0124,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,14427.1,1.33373,0.8034,0.00652,0.84518,0.74475,0.82643,0.49767,1.44839,0.81106,0.0124,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,14639.9,1.33301,0.79873,0.00645,0.84501,0.74509,0.82666,0.49793,1.44858,0.81124,0.0124,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,14829.2,1.32908,0.80168,0.00651,0.84582,0.7448,0.82647,0.49786,1.44849,0.81106,0.0124,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,15032.1,1.32629,0.79382,0.00643,0.84561,0.74497,0.82656,0.49795,1.44848,0.8098,0.0124,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,15225.8,1.32439,0.79178,0.00638,0.84654,0.74483,0.82669,0.49791,1.44884,0.80942,0.01241,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,15424.5,1.328,0.79196,0.00636,0.84554,0.74573,0.82674,0.4979,1.44921,0.80916,0.01241,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,15636.4,1.31898,0.78962,0.00636,0.84711,0.74492,0.82663,0.49765,1.44911,0.80907,0.01241,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,15858.1,1.32024,0.78781,0.00629,0.84648,0.74536,0.82673,0.49798,1.44895,0.8093,0.01241,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,16062.1,1.31338,0.78258,0.00631,0.84651,0.74554,0.82667,0.49781,1.44936,0.80872,0.01242,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,16271,1.3092,0.78454,0.00629,0.84596,0.74612,0.82674,0.49783,1.44968,0.80817,0.01242,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,16451.8,1.30501,0.7805,0.00627,0.84733,0.74519,0.82678,0.49765,1.4499,0.80875,0.01242,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,16562.4,1.23971,0.68146,0.00636,0.84725,0.74518,0.82684,0.49789,1.45,0.80853,0.01242,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,16673.6,1.22621,0.67198,0.00621,0.84677,0.74501,0.82682,0.49785,1.45001,0.80884,0.01242,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,16783.4,1.22183,0.66821,0.00618,0.84735,0.74473,0.82676,0.49784,1.45042,0.8082,0.01242,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,16892.3,1.21233,0.66036,0.00616,0.84659,0.74534,0.82663,0.49773,1.45059,0.80823,0.01242,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,17005.4,1.20982,0.65785,0.00608,0.84669,0.74566,0.82671,0.49782,1.45099,0.80777,0.01243,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,17121.9,1.20591,0.65719,0.00606,0.84684,0.7458,0.82656,0.49759,1.45146,0.80745,0.01243,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,17245.5,1.20892,0.6543,0.00603,0.8467,0.74612,0.82659,0.4976,1.45181,0.80763,0.01244,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,17364.5,1.19812,0.65072,0.00602,0.84695,0.74642,0.82659,0.49748,1.4522,0.80732,0.01244,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,17485.3,1.19811,0.64871,0.006,0.84799,0.74587,0.82667,0.49745,1.45233,0.80692,0.01244,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,17612.3,1.19831,0.64691,0.00595,0.84803,0.74549,0.82661,0.49737,1.4523,0.80728,0.01243,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
